"324","20","222","15"
"325","20","223","16"
"326","20","224","17"
"327","20","226","18"
"328","20","383","19"
"329","20","49","20"
"330","20","76","21"
"331","20","77","22"
"332","20","78","23"
"333","20","79","24"
"334","20","737","25"
"335","20","82","26"
"336","20","142","27"
"337","20","144","28"
"338","20","229","29"
"339","20","231","30"
"340","20","232","31"
"341","20","233","32"
"342","20","234","33"
"343","20","235","34"
"344","20","236","35"
"345","20","237","36"
"346","20","238","37"
"347","20","239","38"
"348","20","240","39"
"349","21","270","0"
"350","21","7","1"
"351","21","8","2"
"352","21","132","3"
"353","21","594","4"
"354","21","134","5"
"355","21","494","6"
"356","21","329","7"
"357","21","330","8"
"358","21","712","9"
"359","21","250","10"
"360","21","332","11"
"361","21","333","12"
"362","21","334","13"
"363","21","335","14"
"364","21","336","15"
"365","21","337","16"
"366","24","421","0"
"367","24","352","1"
"368","24","423","2"
"369","24","424","3"
"370","24","425","4"
"371","24","426","5"
"372","24","427","6"
"373","24","353","7"
"374","24","428","8"
"375","24","355","9"
"376","24","356","10"
"377","24","344","11"
"378","24","345","12"
"379","24","495","13"
"380","24","541","14"
"381","24","111","15"
"382","24","112","16"
"383","24","357","17"
"384","24","157","18"
"385","24","73","19"
"386","24","74","20"
"387","24","75","21"
"388","24","263","22"
"389","24","113","23"
"390","24","114","24"
"391","24","115","25"
"392","24","116","26"
"393","24","117","27"
"394","24","118","28"
"395","24","119","29"
"396","24","391","30"
"397","24","358","31"
"398","24","178","32"
"399","24","179","33"
"400","24","497","34"
"401","24","359","35"
"402","24","429","36"
"403","24","430","37"
"404","24","431","38"
"405","24","360","39"
"406","25","719","0"
"407","25","720","1"
"408","25","721","2"
"409","25","453","3"
"410","25","699","4"
"411","25","291","5"
"412","25","292","6"
"413","25","293","7"
"414","25","294","8"
"415","25","295","9"
"416","25","296","10"
"417","25","157","11"
"418","25","73","12"
"419","25","74","13"
"420","25","75","14"
"421","25","131","15"
"422","25","386","16"
"423","25","77","17"
"424","25","78","18"
"425","25","79","19"
"426","25","737","20"
"427","25","82","21"
"428","25","142","22"
"429","25","144","23"
"430","25","229","24"
"431","25","700","25"
"432","25","396","26"
"433","25","372","27"
"434","25","498","28"
"435","25","454","29"
"436","25","455","30"
"437","25","456","31"
"438","25","457","32"
"439","25","373","33"
"440","25","397","34"
"441","25","458","35"
"442","25","665","36"
"443","25","666","37"
"444","25","460","38"
"445","25","461","39"
"446","25","374","40"
"447","25","462","41"
"448","25","375","42"
"449","25","376","43"
"450","26","17","0"
"451","26","18","1"
"452","26","753","2"
"453","26","21","3"
"454","26","22","4"
"455","26","83","5"
"456","26","84","6"
"457","26","85","7"
"458","26","206","8"
"459","26","3","9"
"460","26","363","10"
"461","26","29","11"
"462","26","30","12"
"463","26","502","13"
"464","26","388","14"
"465","26","503","15"
"466","26","483","16"
"467","26","389","17"
"468","28","76","0"
"469","28","77","1"
"470","28","78","2"
"471","28","79","3"
"472","28","737","4"
"473","28","82","5"
"474","28","142","6"
"475","28","504","7"
"476","30","76","0"
"477","30","77","1"
"478","30","78","2"
"479","30","79","3"
"480","30","737","4"
"481","30","82","5"
"482","30","142","6"
"483","30","504","7"
"484","31","736","0"
"485","31","707","1"
"486","34","51","0"
"487","34","139","1"
"488","34","53","2"
"489","34","54","3"
"490","34","55","4"
"491","34","595","5"
"492","34","219","6"
"493","34","227","7"
"494","34","228","8"
"495","34","58","9"
"496","34","59","10"
"497","34","132","11"
"498","34","594","12"
"499","34","133","13"
"500","34","136","14"
"501","34","137","15"
"502","34","60","16"
"503","34","61","17"
"504","34","62","18"
"505","34","63","19"
"506","34","64","20"
"507","34","65","21"
"508","35","683","0"
"509","35","684","1"
"510","35","669","2"
"511","35","741","3"
"512","35","323","4"
"513","35","688","5"
"514","35","689","6"
"515","35","591","7"
"516","35","543","8"
"517","35","675","9"
"518","35","27","10"
"519","35","28","11"
"520","35","29","12"
"521","35","30","13"
"522","35","31","14"
"523","35","33","15"
"524","35","34","16"
"525","36","291","0"
"526","36","292","1"
"527","36","293","2"
"528","36","294","3"
"529","36","295","4"
"530","36","755","5"
"531","36","133","6"
"532","36","136","7"
"533","36","137","8"
"534","36","60","9"
"535","40","733","0"
"536","40","734","1"
"537","41","180","0"
"538","41","181","1"
"539","41","141","2"
"540","41","136","3"
"541","41","137","4"
